127.0.0.1 - - [06/Feb/2024:17:37:50 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:37:56 +0530] "GET /AdvanceDynamic/UserListView.jsp HTTP/1.1" 500 2407
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:37:57 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:38:59 +0530] "GET /AdvanceDynamic/ HTTP/1.1" 404 770
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:08 +0530] "GET /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:22 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 1578
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:30 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:32 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:33 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:33 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:33 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:34 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:34 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:34 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:35 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:36 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2732
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:41 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2729
0:0:0:0:0:0:0:1 - - [06/Feb/2024:17:39:44 +0530] "POST /AdvanceDynamic/UserListCtl HTTP/1.1" 200 2729
